Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-10-01,127.13,105.71550208000001,1.97563799238829,0.2152330157070902,0.7847669842929103,green,127.13,126.46,125.15,0.012879034448842891
1980-10-02,128.09,105.75912512,2.015856092768875,0.3245297367372926,0.675470263262708,green,128.09,128.82,126.04,0.0071787890363891275
1980-10-03,129.33,105.80298752,1.9915632881304315,0.3838828633299965,0.6161171366700039,green,129.33,129.62,128.5,0.009289967739562767
1980-10-06,131.73,105.84722352,1.9934851237239102,0.426421513816883,0.5735784861831176,green,131.73,131.36,130.09,0.018042927969943508
1980-10-07,131.0,105.89185888,1.9588108675377138,0.6568357701833882,0.3431642298166123,blue,131.0,132.2,130.9,-0.005901217885131908
1980-10-08,131.65,105.9368808,1.9133703241608289,0.7678152627146325,0.232184737285368,blue,131.65,132.05,131.16,0.004605394896602905
1980-10-09,131.04,105.98227584,1.8502018079527875,0.8149558552526781,0.1850441447473224,blue,131.04,131.86,131.21,-0.004988433682126125
1980-10-10,130.29,106.02805584000001,1.886191717555148,0.8341263768257422,0.16587362317425824,blue,130.29,132.15,129.58,-0.0060840527344707546
1980-10-13,132.03,106.07423552,1.8693821316773895,0.8401083688307236,0.15989163116927674,blue,132.03,131.67,130.12,0.012922266431695705
1980-10-14,132.02,106.12078624,1.8049130250935206,0.852698956146673,0.14730104385332735,blue,132.02,132.61,132.35,-0.0004199110750411491
1980-10-15,133.7,106.16773152,1.7776673738388442,0.8502604895988795,0.149739510401121,blue,133.7,133.28,132.32,0.012300890002726132
1980-10-16,132.22,106.21510096,1.7772840051469025,0.8515527104314823,0.14844728956851802,blue,132.22,135.08,133.31,-0.011475450047022367
1980-10-17,131.52,106.26290896,1.830919804889557,0.8543013762705931,0.14569862372940728,blue,131.52,133.07,130.22,-0.005652438442135848
1980-10-20,132.61,106.31116624,1.8978738146450798,0.8466838667313059,0.1533161332686945,blue,132.61,133.21,130.04,0.007909390537065372
