Date, Open, High, Low, Close,LN_Return
02/21/85,180.19,181.06,180.06,180.19,-0.005479163
02/20/85,181.18,182.06,180.68,181.18,-0.000827563
02/19/85,181.33,181.58,180.96,181.33,-0.001487891
02/15/85,181.6,182.6,181.35,181.6,-0.004450435
02/14/85,182.41,183.91,182.41,182.41,-0.005139994
02/13/85,183.35,183.85,180.6,183.35,0.015333762
2/12/85,180.56,180.69,179.56,180.56,0.000276955
2/11/85,180.51,182.14,180.14,180.51,-0.009263921
2/8/85,182.19,182.31,181.69,182.19,0.002032912
2/7/85,181.82,181.94,180.44,181.82,0.007674296
2/6/85,180.43,181.43,180.43,180.43,-0.00099712
2/5/85,180.61,181.49,180.11,180.61,0.001440603
2/4/85,180.35,180.35,177.85,180.35,0.00958278
2/1/85,178.63,179.63,178.5,178.63,-0.005582552
01/31/85,179.63,179.75,178.63,179.63,0.001336973
01/30/85,179.39,180.27,179.14,179.39,0.00117132
01/29/85,179.18,179.18,176.68,179.18,0.009983817
01/28/85,177.4,178.15,176.65,177.4,0.000281889
01/25/85,177.35,177.72,176.6,177.35,0.00361521
01/24/85,176.71,178.09,176.59,176.71,-0.003333242
01/23/85,177.3,176.11,175.24,177.3,0.010318137
01/22/85,175.48,176.61,175.23,175.48,0.00142568
01/21/85,175.23,175.36,171.36,175.23,0.022566244
01/18/85,171.32,171.32,170.69,171.32,0.003449791
01/17/85,170.73,171.23,170.23,170.73,-0.00269069
01/16/85,171.19,171.94,170.44,171.19,0.002222223
01/15/85,170.81,171.81,170.44,170.81,0.001757882
01/14/85,170.51,170.51,167.64,170.51,0.015365824
1/11/85,167.91,168.66,167.66,167.91,-0.002379396
1/10/85,168.31,168.31,165.06,168.31,0.018771729
1/9/85,165.18,165.56,164.06,165.18,0.007230338
1/8/85,163.99,164.49,163.99,163.99,-0.001523322
1/7/85,164.24,164.62,163.74,164.24,0.003415471
1/4/85,163.68,164.56,163.43,163.68,-0.005422709
1/3/85,164.57,166.07,164.44,164.57,-0.004849376
1/2/85,165.37,167.12,165.25,165.37,-0.011244519
12/31/84,167.24,169.24,166.12,167.24,0.005877078
12/28/84,166.26,166.26,165.76,166.26,0.003072199
12/27/84,165.75,166.5,165.63,165.75,-0.004334484
12/26/84,166.47,166.72,166.34,166.47,-0.00174054
12/24/84,166.76,166.89,165.51,166.76,0.007524037
12/21/84,165.51,166.26,164.64,165.51,-0.005242713
12/20/84,166.38,167.5,166.38,166.38,-0.004677109
12/19/84,167.16,168.91,166.91,167.16,-0.005667089
12/18/84,168.11,168.11,163.24,168.11,0.02713298
12/17/84,163.61,163.18,162.56,163.61,0.005638997
12/14/84,162.69,163.19,161.44,162.69,0.005423742
12/13/84,161.81,162.81,161.56,161.81,-0.005054875
12/12/84,162.63,163.13,162.63,162.63,-0.002701875
12/11/84,163.07,163.07,162.57,163.07,0.001472845
12/10/84,162.83,163.21,161.58,162.83,0.003506725
12/7/84,162.26,163.26,162.26,162.26,-0.003076736
12/6/84,162.76,163.01,161.76,162.76,0.004063294
12/5/84,162.1,163.35,161.97,162.1,-0.007865347
12/4/84,163.38,163.88,162.88,163.38,0.00343348
12/3/84,162.82,163.57,162.32,162.82,-0.004656871
11/30/84,163.58,163.83,163.08,163.58,-0.002015329
11/29/84,163.91,164.91,163.78,163.91,-0.006749182
11/28/84,165.02,166.9,165.02,165.02,-0.007666573
11/27/84,166.29,166.79,165.17,166.29,0.004459988
11/26/84,165.55,166.8,165.43,165.55,-0.008241392
11/23/84,166.92,166.92,164.55,166.92,0.014482512
11/21/84,164.52,164.65,163.4,164.52,0.002068756
11/20/84,164.18,164.43,163.18,164.18,0.006599877
11/19/84,163.1,164.22,163.1,163.1,-0.006112488
11/16/84,164.1,166.22,164.1,164.1,-0.01084892
11/15/84,165.89,166.39,165.64,165.89,-0.000602627
11/14/84,165.99,166.37,165.49,165.99,0.000120496
11/13/84,165.97,167.34,165.84,165.97,-0.008340132
11/12/84,167.36,167.61,166.74,167.36,-0.001433007
11/9/84,167.6,169.35,167.47,167.6,-0.006423241
11/8/84,168.68,169.18,168.31,168.68,-0.002900698
11/7/84,169.17,170.3,168.55,169.17,-0.007303172
